,nombre,precio
0,ANJA,185.0
1,LUMI,185.0
2,NATALIE II,185.0
3,PIPER,185.0
4,PIA,185.0
5,VITTORIA,185.0
6,SOLEIL,199.0
7,LUCE,199.0
8,DANIELLE,185.0
9,RAMONA,185.0
10,CAMILLE,185.0
11,AMALFI,169.0
12,AUDREY,199.0
13,BITTER,199.0
14,BROOKS XL,169.0
15,NONA,185.0
16,NEIT,185.0
17,BAAL,185.0
18,TANIT,185.0
19,CITRUS,199.0
20,LUSH,199.0
21,ROSALIA,185.0
22,LUDOVICA,185.0
23,CARMELA,199.0
24,ALBA,199.0
25,CAPRI,175.0
26,COSIMA,185.0
27,DOHA,169.0
28,ISIDORA,185.0
29,GRACE,185.0
30,GISELLE,185.0
31,GIADA,185.0
32,ESMERALDA,185.0
33,ELISA,199.0
34,YVETTE,185.0
35,ALFA,185.0
36,LEWIS,169.0
37,KENDALL,185.0
38,PATRIZIA,185.0
39,PAIGE,199.0
40,OLIMPIA,185.0
41,OIA,169.0
42,OHARA,169.0
43,NARAI,169.0
44,MONIQUE,185.0
45,MEGAN,199.0
46,MARZIA,185.0
47,MAGGUIE,185.0
48,UTRECHT,169.0
49,SIFNOS,175.0
50,SIENA,169.0
51,SERENA,185.0
52,ROY,169.0
53,ROBERTA,185.0
54,BENZ,195.0
55,BRYANT,215.0
56,KEPLER,195.0
57,GRANT,215.0
58,GALILEI,195.0
59,DALTON,195.0
60,COBAIN,195.0
61,CHOPIN,195.0
62,MARX,195.0
63,MAGNO,195.0
64,MADISON,215.0
65,SIMON,215.0
66,ANE,165.0
67,CATHERINE,165.0
68,CATALINA,165.0
69,MOLLY,165.0
70,RENATA,165.0
71,ZENAIDA,165.0
72,ALTEA,165.0
73,ALAIA,165.0
74,LULU,165.0
75,LARISA,165.0
76,JANET,165.0
77,GRETEL,165.0
78,GLORIA,165.0
79,GENESIS,165.0
80,DOROTHEA,165.0
