,tema,categoria,subcategoria,nombre,precio,colores,tallas,descripcion,imapcto
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Negra,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Blanca,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Crudo,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Gris Jaspeado,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Lava Grey,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Verde Oliva,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Azul,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Navy Blue,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Verde Oscuro,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
0,Hombre,Prendas,Camisetas y polos,Camiseta algodón orgánico negra,25.0,Marrón Chocolate,"['XS', 'S', 'M', 'L', 'XL', 'XXL']","Camisetas de algodón orgánico negra. Al emplear algodón orgánico reducimos el consumo de agua, energía, recursos naturales y residuos para el planeta.Camisetas confeccionados de forma consciente y sostenible en el norte de Portugal.
[Los modelos miden 189 cm y llevan la talla L]
Información general:Camiseta 100% Algodón OrgánicoCertificado OCS 100180 gramosCuello Redondo y corte relajadoLavado recomendada a 30°C"," 
¿Por qué decimos que esta camiseta es sostenible?

- Es confeccionada con algodón 100% orgánico
- Está fabricada en el norte de Portugal, a pocos kilómetros de nuestro almacén y de nuestro consumidor final
- Al emplear materiales de primera calidad su durabilidad incrementa enormemente
- Empleamos packaging totalmente reciclado y reciclable


Elegir la camiseta Minimalism, fabricada con algodón orgánico certificado (OCS 100), en lugar de una camiseta genérica supone ahorrar:

- 2,4 kg de emisiones de CO2
- 614,9 litros de agua
- 3,8 kWh de energía

Datos de sostenibilidad auditados por Green Story"
