,titulo,precio
0,RB4441D BIO-BASED,137.0
1,ORIGINAL WAYFARER CLASSIC,163.0
2,MEGA BALORAMA,173.0
3,NEW WAYFARER CLASSIC,202.0
4,AVIATOR CLASSIC,163.0
5,JUSTIN CLASSIC,167.0
6,ERIKA CLASSIC,147.0
7,CLUBMASTER CLASSIC,163.0
8,AVIATOR TOTAL BLACK,213.0
9,RB4420,137.0
10,KILIANE BIO-BASED,152.0
11,OVAL METAL,213.0
12,WAYFARER FOLDING CLASSIC,163.0
13,STATE STREET,173.0
14,RB2180,182.0
15,CLUBMASTER REVERSE,194.0
16,HEXAGONAL FLAT LENSES,213.0
17,MEGA WAYFARER,173.0
18,ZENA BIO-BASED,137.0
19,KAT BIO-BASED,137.0
20,RB4421D BIO-BASED,137.0
21,TERU BIO-BASED,137.0
22,WAYFARER REVERSE,184.0
23,BLAZE AVIATOR,184.0
24,RB3498,193.0
25,CHRIS,147.0
26,RB4387,137.0
27,COCKPIT,163.0
28,WAYFARER EASE,163.0
29,RB3183,182.0
30,RB4362,155.0
31,OCTAGONAL CLASSIC,163.0
32,EMY BIO-BASED,137.0
33,ROUND METAL,163.0
34,OVAL FLAT LENSES,163.0
35,JACKIE OHH,203.0
36,XAN BIO-BASED,157.0
37,RB4385,244.0
38,BOYFRIEND,202.0
39,JACK,213.0
40,NEW CARAVAN,183.0
41,CLUBROUND CLASSIC,223.0
42,RB3751CH CHROMANCE,212.0
43,RB3386,193.0
44,AVIATOR FLASH LENSES,233.0
45,BILL,173.0
46,RB4401D WASHED LENSES,137.0
47,CLUBMASTER MARBLE,163.0
48,AVIATOR GRADIENT,173.0
49,RB3683,152.0
50,LEONARD,213.0
51,RB3471,147.0
52,CORRIGAN BIO-BASED,152.0
53,RB2204,173.0
54,BALORAMA,152.0
55,WAYFARER WAY,163.0
56,ORIGINAL WAYFARER BIO-BASED,183.0
57,RB4436D BIO-BASED,137.0
58,RB2210,152.0
59,RB4335,137.0
60,PREDATOR 2,152.0
61,ORIGINAL WAYFARER @COLLECTION,173.0
62,AVIATOR REVERSE,214.0
63,EXPLORER V,163.0
64,DOREEN,183.0
65,ERIK,183.0
66,MEGA WAYFARER LITEFORCE,194.0
67,GINA,183.0
68,SQUARE 1971 CLASSIC,173.0
69,RB4306,162.0
70,BERNARD,173.0
71,RB4401D,137.0
72,RB2213CH CHROMANCE,212.0
73,CARAVAN REVERSE,204.0
74,JIM,173.0
75,RB3749,173.0
76,ROUND REVERSE,184.0
77,RAIMOND,163.0
78,RB3751,172.0
79,AVIATOR LARGE METAL,173.0
80,WILLIAM TITANIUM,459.0
81,RB2213,152.0
82,BALORETTE,163.0
83,RAIMOND TRANSITIONS®,263.0
84,RB3746,173.0
85,RB3750,152.0
86,BERNARD TRANSITIONS®,263.0
87,DADDY-O SUMMER CELEBRATION LIMITED,136.0
88,CORRIGAN BIO-BASED FALL LIMITED,152.0
89,WAYFARER WAY CHANGE HOLIDAY LIMITED,213.0
90,RB4421D WASHED LENSES BIO-BASED,137.0
91,BLAZE DOUBLE BRIDGE,194.0
92,RB3530,193.0
93,ANH BIO-BASED,137.0
94,RB3686,194.0
95,RB3533,173.0
96,RB4232,137.0
97,JACK ROSE GOLD,163.0
98,RB4407,162.0
99,OCTAGONAL LEGEND GOLD,163.0
100,RB4429,173.0
101,ERIKA METAL EVOLVE,167.0
102,RB3809,163.0
103,RB3528,193.0
104,RB2203,213.0
105,RB4435 TRANSITIONS®,252.0
106,ORIGINAL WAYFARER CHANGE,213.0
107,RB3699,212.0
108,JACK TRANSITIONS®,263.0
109,RB3701,244.0
110,RB4374,187.0
111,RB4305,152.0
112,YEVI BIO-BASED,137.0
113,ROUND METAL @COLLECTION,173.0
114,OCTAGON 1972,145.0
115,RB4259,162.0
116,HEXAGONAL,163.0
117,ERIKA COLOR MIX,177.0
118,MARSHAL,183.0
119,JACKIE OHH II TRANSPARENT,193.0
120,MARSHAL II,183.0
121,ORIGINAL WAYFARER BICOLOR,173.0
122,ORIGINAL WAYFARER CHROMANCE,243.0
123,ERIKA METAL,177.0
124,DRIFTER,183.0
125,RB4376,137.0
126,RB3719,173.0
127,RB3449,173.0
128,ROUND DOUBLE BRIDGE,183.0
129,BURBANK,223.0
130,RB4068,147.0
131,OUTDOORSMAN,163.0
132,ERIKA @COLLECTION,177.0
133,JUSTIN COLOR MIX,137.0
134,JULIE,155.0
135,RB3765,173.0
136,WAYFARER OVAL,163.0
137,FRANK,163.0
138,JACKIE OHH TRANSPARENT,223.0
139,WARREN BIO-BASED,152.0
140,RB3734,152.0
141,RB3737 CHROMANCE,244.0
142,LADY BURBANK,173.0
143,NEW CLUBMASTER,163.0
144,WAYFARER LITEFORCE,224.0
145,ELLIOT,173.0
146,AVIATOR @COLLECTION,163.0
147,AVIATOR MIRROR,233.0
148,CATS 5000 CLASSIC,173.0
149,JACKIE OHH II,173.0
150,RB3663,152.0
151,WAYFARER II CLASSIC,163.0
152,RB3686 CHROMANCE,244.0
153,RB3717,173.0
154,NEW ROUND,173.0
155,MEGA CLUBMASTER,173.0
156,OLYMPIAN I DELUXE,173.0
157,RB4378,147.0
158,RB3675,212.0
159,RB4388,225.0
160,HAWKEYE,225.0
161,METEOR CLASSIC,225.0
162,RB3589,162.0
163,ORIGINAL WAYFARER CHANGE TRANSITIONS®,313.0
164,WINGS II,184.0
165,SQUARE II,183.0
166,RB0707S,183.0
167,RB4389,173.0
168,RB3707,173.0
169,WAYFARER OVAL CHANGE,213.0
170,MEGA HAWKEYE,173.0
171,CARAVAN,163.0
172,JORGE,299.0
173,LENNY KRAVITZ X AVIATOR REVERSE,244.0
174,RB3445,152.0
175,THALIA,163.0
176,NEW WAYFARER COLOR MIX,152.0
177,NEW AVIATOR,183.0
178,CLUBMASTER METAL,173.0
179,STATE STREET FLECK,183.0
180,IZAZ BIO-BASED,157.0
181,BAIN BRIDGE,163.0
182,OLD AVIATOR,163.0
183,MAGELLAN BIO-BASED,172.0
184,RB4435,152.0
185,RB3721CH CHROMANCE,244.0
186,BILL ONE,163.0
187,CARBON FIBRE,225.0
188,CLUBMASTER FLASH LENSES,183.0
189,RB4264 CHROMANCE,233.0
190,INVERNESS,173.0
191,RB4179,224.0
192,AVIATOR CHROMANCE,243.0
193,BOYFRIEND TWO,162.0
194,RB0880S,173.0
195,AVIATOR TITANIUM,399.0
196,RB4323,162.0
197,RB4181,182.0
198,ROUND FLECK,173.0
199,RB3732,152.0
200,WAYFARER OVAL CHANGE TRANSITIONS®,313.0
201,ORIGINAL WAYFARER COLOR MIX,173.0
202,CARLOS,163.0
203,BOYFRIEND REVERSE,214.0
204,AVIATOR METAL II,213.0
205,RB4428,202.0
206,CLUBMASTER FLECK,173.0
207,CLUBMASTER OVERSIZED,163.0
208,MICHAEL TITANIUM,399.0
209,RECTANGLE 1969,173.0
210,RB3671CH CHROMANCE,243.0
211,DADDY-O,126.0
212,ANDY,137.0
213,RB2180 TRANSITIONS®,232.0
214,ZENA BIO-BASED LIMITED,137.0
215,MEGA WAYFARER BIO-BASED,173.0
216,BEATE,173.0
217,ROUND BLUE-LIGHT CLEAR EVOLVE,193.0
218,STEVE,147.0
219,RB3588,162.0
220,LEONARD TRANSITIONS®,263.0
221,RB3687,202.0
222,CLUBMASTER CHROMANCE,243.0
223,JACK II TITANIUM,399.0
224,SHOOTER,163.0
225,ROUND METAL LEGEND GOLD,163.0
226,AVIATOR ROSE GOLD,163.0
227,RB3706,223.0
228,PHIL BIO-BASED,152.0
229,RB3796,173.0
230,LARRY,289.0
231,ROUND FLASH LENSES,183.0
232,SQUARE 1971 CHROMANCE,243.0
233,ORION,183.0
234,RB4361,136.0
235,RB3546,183.0
236,WINGS,194.0
237,WINGS III,184.0
238,RB4222,147.0
239,CLUBMASTER FOLDING,247.0
240,RB4330CH CHROMANCE,244.0
241,RB2204 TRANSITIONS®,263.0
242,AVIATOR FULL COLOR LEGEND,194.0
243,RB4320CH CHROMANCE,233.0
244,RB3733,162.0
245,RB4226,182.0
246,RB3688,152.0
247,OUTDOORSMAN,163.0
248,JEFFREY,173.0
249,ROUND METAL CHROMANCE,243.0
250,MAGELLAN BIO-BASED TRANSITIONS®,232.0
251,RB3578,183.0
252,RB3721,184.0
253,RB3689 BI-GRADIENT,173.0
254,RB3569,193.0
255,CLUBMASTER @COLLECTION,223.0
256,ROUND FLAT LENSES,163.0
257,AVIATOR CLEAR EVOLVE,193.0
258,CLUBMASTER ALUMINUM,215.0
259,RB3549,213.0
260,NEW WAYFARER BICOLOR,202.0
261,EAGLE EYE,183.0
262,JUSTIN CLEAR,137.0
263,AVIATOR LARGE METAL II,163.0
264,ROUND METAL ROSE GOLD,163.0
265,XIME BIO-BASED,137.0
266,RB3737,184.0
267,MEGA CLUBMASTER TRANSITIONS®,273.0
268,RB3527,137.0
269,NEW WAYFARER FLASH,172.0
270,RB3736 CHROMANCE,244.0
271,RB3684CH CHROMANCE,223.0
272,OLD AVIATOR TRANSITIONS®,263.0
273,CLUBMASTER SQUARE LEGEND GOLD,163.0
274,AVIATOR EXTRA SMALL,163.0
275,AVIATOR,163.0
276,OUTDOORSMAN HAVANA COLLECTION,163.0
277,RB4640,162.0
278,SHOOTER,163.0
279,RB4255 CHROMANCE,197.0
280,RB3523,157.0
281,AVIATOR HAVANA COLLECTION,173.0
282,BLAZE CLUBMASTER,184.0
283,RB3681,126.0
284,BILL BIO-BASED EARTH DAY LIMITED,163.0
285,RB4221,147.0
286,CATS 1000,173.0
287,RB4315,152.0
288,CLUBMASTER BLUE-LIGHT CLEAR,163.0
289,RB4258,152.0
290,AVIATOR LARGE METAL II,163.0
291,RB3736,194.0
292,AVIATOR FLASH LENSES GRADIENT,183.0
293,JIM TITANIUM,399.0
294,RB3522,193.0
295,RB4429 TRANSITIONS®,263.0
296,ROUND METAL ANTIQUED,163.0
297,RB4306 TRANSITIONS®,232.0
298,RB8319CH CHROMANCE,317.0
299,PHIL BIO-BASED TRANSITIONS®,232.0
300,EAGLE EYE TRANSITIONS®,273.0
301,RB3515,213.0
